Code	Type	Pr	Num	Suf	Firm	Rasp	R1	R2	Rez	Mar	St	PS	Prim	DateMake	code_status	Izm	Reason
2626	vlh		60		МУП Волховавтосервис	расп	Сясьстрой	Колчаново	-	Сясьстрой - Пёхалево - Аврово - Рыжково - Реброво - Колчаново		-		27.06.2016	2	-	-
2627	vlh		64		МУП Волховавтосервис	расп	Волхов	Новая Ладога	-	Волхов - Лисички - Труфаново - Кисельня - Трусово - Юшково - Новая Ладога		-		27.06.2016	2	-	-
2628	vlh		64	а	МУП Волховавтосервис	расп	Волхов	Кисельня	-	Волхов - Лисички - Труфаново - Кисельня		-		27.06.2016	2	-	-
2629	vlh		65		МУП Волховавтосервис	расп	Новая Ладога	Немятово	-	Новая Ладога - Юшково - Иссад - Немятово		-		27.06.2016	2	-	-
2630	vlh		704		МУП Волховавтосервис	расп	Новая Ладога	Паша	-	Новая Ладога - Юшково - Сясьстрой - Низино - Селиваново - Потанино - Шолтово - Волосово - Манихино - Паша		-		27.06.2016	2	-	-
2631	vlh		704	а	МУП Волховавтосервис	расп	Новая Ладога	Кизлярское	-	Новая Ладога - Юшково - Сясьстрой - Низино - Селиваново - Потанино - Шолтово - Волосово - Манихино - Паша - Рязановщина - Исаево - Рыбежно - Малая Весь - Емское - Николаевщина - Новая - Щепняг - Часовенское - Малашата - Сорзуй - Кизлярское		-		27.06.2016	2	-	-
2632	vlh		8		МУПАТП МО г.Волхов	расп	Волхов, вокзал	Виковщина	-	ул.Профсоюзов - пр.Юрия Гагарина - ул.Державина - Парковая ул. - Октябрьская наб. - Званка - Плеханово - Виковщина		-		27.06.2016	2	-	-
2633	vlh		53		МУП Волховавтосервис	расп	Сясьстрой	Хвалово	-	Сясьстрой - Пёхалево - Аврово - Рыжково - Реброво - Колчаново - Яхново - Андреевщина - Кулаково - Льзи - Хвалово		-		27.06.2016	2	-	-
2634	vlh		3	а	МУПАТП МО г.Волхов	расп	Волхов, вокзал	Торфопосёлок	-	ул.Профсоюзов - пр.Юрия Гагарина - ул.Державина - (заезд: Парковая ул. - Октябрьская наб. - Киришское шоссе) - Мурманское шоссе - Кировский пр. - Молодёжная ул. - Авиационная ул.		-		27.06.2016	2	-	-
986	vls	К-	655		ИП Будзинский Ю.В.	расп	станция метро Автово	Волосово	ежедневно	улица Червонного Казачества - Портовая улица - Кронштадтская улица - дорога на Турухтанные острова - (обратно: улица Зайцева - улица Маринеско - Автовская улица) - проспект Стачек - проспект Маршала Жукова - Таллинское шоссе /Старо-Паново/ - Красносельское шоссе /Горелово/ - проспект Ленина /г. Красное Село/ - Кингисеппское шоссе /г. Красное Село/ - Лаголово - Телези - Русско-Высоцкое - Кипень - Келози - Переярово - Старые Низковицы - Волгово - Торосово - Губаницы - Будино - Лагоново - Волосово	170	Mercedes Sprinter, КАвЗ-4238, Hyundai Universe Space Luxury, Yutong ZK6129H	-	27.06.2016	2	-	-
2100	vls		30		ИП Будзинский Ю.В.	расп	Волосово	Волосово	-	Волосово - Татьянино - Терпилицы - Худанки - Рекково - Коноховицы - Вруда - Б.Вруда - Ямки - Сяглицы - Рабитицы - Рогатино - Волосово		-		27.06.2016	2	-	-
2101	vls		32		ИП Будзинский Ю.В.	расп	Волосово	Горки	-	Волосово - Лагоново - Будино - Губаницы - Торосово - Волгово - Горки		-		27.06.2016	2	-	-
2102	vls		32	а	ИП Будзинский Ю.В.	расп	Волосово	Торосово	-	Волосово - Лагоново - Будино - Губаницы - Торосово		-		27.06.2016	2	-	-
2103	vls		32	б	ИП Будзинский Ю.В.	расп	Волосово	Волгово	-	Волосово - Лагоново - Будино - Губаницы - Торосово - Волгово		-		27.06.2016	2	-	-
2104	vls		33	а	ИП Будзинский Ю.В.	расп	Волосово	Бегуницы	-	Волосово - Татьянино - Терпилицы - Канаршино - Бегуницы		-		27.06.2016	2	-	-
2105	vls		33	б	ИП Будзинский Ю.В.	расп	Волосово	Худанки	-	Волосово - Татьянино - Терпилицы - Худанки		-		27.06.2016	2	-	-
2106	vls		34		ИП Будзинский Ю.В.	расп	Волосово	Реполка	-	Волосово - Захонье - Заполье - Извара - Сосницы - Реполка		КАвЗ-4238		27.06.2016	2	-	-
2107	vls		34	а	ИП Будзинский Ю.В.	расп	Волосово	Извара	-	Волосово - Захонье - Заполье - Извара		-		27.06.2016	2	-	-
2108	vls		36		ИП Будзинский Ю.В.	расп	Волосово	"Совхоз ""Сельцо"""	-	Волосово - Лагоново - Будино - Губаницы - Клопицы - Жилгородок - Кемполово - Каськово - Сельцо		ПАЗ-3204-12, МАЗ-103		27.06.2016	2	-	-
2109	vls		37		ИП Будзинский Ю.В.	расп	Волосово	Загорицы	-	Волосово - Рогатино - Рабитицы - Сяглицы - Ямки - Б.Вруда - Смердовицы - Овинцево - дер.Молосковицы - (заезд: пос.Молосковицы) - Каложицы - Хотыницы - Ушевицы - Загорицы		-		27.06.2016	2	-	-
2110	vls		37	а	ИП Будзинский Ю.В.	расп	Волосово	Ущевицы	-	Волосово - Рогатино - Рабитицы - Сяглицы - Ямки - Б.Вруда - Смердовицы - Овинцево - дер.Молосковицы - (заезд: пос.Молосковицы) - Каложицы - Хотыницы - Ушевицы		-		27.06.2016	2	-	-
2111	vls		37	б	ИП Будзинский Ю.В.	расп	Волосово	Рабитицы	-	Волосово - Рогатино - Рабитицы		-		27.06.2016	2	-	-
2112	vls		38		ИП Будзинский Ю.В.	расп	Волосово	Сумино	-	Волосово - Лагоново - Будино - Сумино		-		27.06.2016	2	-	-
2113	vls		39		ИП Будзинский Ю.В.	расп	Волосово	Глумицы	-	Волосово - Роговицы - Кикерино - Новые Раглицы - Курковицы - Калитино - Старые Раглицы - Каргалозы - Глумицы		-		27.06.2016	2	-	-
2114	vls		39	а	ИП Будзинский Ю.В.	расп	Волосово	Калитино	-	Волосово - Роговицы - Кикерино - Новые Раглицы - Курковицы - Калитино		ПАЗ-3204-12		27.06.2016	2	-	-
2115	vls		41		ИП Будзинский Ю.В.	расп	Волосово	Беседа	-	Волосово - Рогатино - Рабитицы - Сяглицы - Ямки - Б.Вруда - Смердовицы - Овинцево - дер.Молосковицы - пос.Молосковицы - Остроговицы - Лелино - Сырковицы - Курск - Яблоницы - Красный Луч - Сумск - Волпи - Морозово - Кряково - Беседа 		-		27.06.2016	2	-	-
2116	vls		42		ИП Будзинский Ю.В.	расп	Волосово	Волосово	-	Волосово - Рогатино - Рабитицы - Сяглицы - Ямки - Б.Вруда - Вруда - Коноховицы - Рекково - Худанки - Терпилицы - Татьянино - Волосово		ПАЗ-3204-12		27.06.2016	2	-	-
2117	vls		44	а	ИП Будзинский Ю.В.	расп	Волосово	Большая Вруда	-	Волосово - Рогатино - Рабитицы - Сяглицы - Ямки - Б.Вруда		-		27.06.2016	2	-	-
2118	vls		45		ИП Будзинский Ю.В.	расп	Волосово	Княжево	-	Волосово - Рогатино - Кальмус - Ославье - Пежевицы - Горки - Рекково - Коноховицы - Аракюля - Химосово - Княжево		-		27.06.2016	2	-	-
2119	vls		46		ИП Будзинский Ю.В.	расп	Волосово	Калитино	-	Волосово - Роговицы - Лисино - Калитино		-		27.06.2016	2	-	-
2120	vls		48		ИП Будзинский Ю.В.	расп	Волосово	Большой Сабск	-	Волосово - Рогатино - Рабитицы - Сяглицы - Ямки - Б.Вруда - Смердовицы - Овинцево - дер.Молосковицы - пос.Молосковицы - Остроговицы - Лелино - Сырковицы - Курск - Яблоницы - Красный Луч - Устье - Извоз - Волна - Слепино - Редкино - Б.Сабск		-		27.06.2016	2	-	-
2121	vls		48	а	ИП Будзинский Ю.В.	расп	Волосово	Большой Сабск	-	Волосово - Рогатино - Рабитицы - Сяглицы - Ямки - Б.Вруда - Смердовицы - Овинцево - дер.Молосковицы - пос.Молосковицы - Остроговицы - Лелино - Сырковицы - Курск - Яблоницы - Красный Луч - Устье - Извоз - (заезд: Красный Маяк - Хотнежа - Лемовжа) - Волна - Слепино - Редкино - Б.Сабск		-		27.06.2016	2	-	-
2123	vls		737		ИП Будзинский Ю.В.	расп	Волосово	Кингисепп, пл. Николаева	-	Волосово - Рогатино - Рабитицы - Сяглицы - Ямки - Б.Вруда - Летошицы - Сырковицы - Курск - Нов.Рагулово - Кряково - Беседа - Ястребино - Торма - Пустомержа - Веймарн - Ямсковицы - Тикопись - Кингисепп		-		27.06.2016	2	-	-
2124	vls		33		ИП Будзинский Ю.В.	расп	Волосово	Кирово	-	Волосово - Татьянино - Терпилицы - Канаршино - Поддубье - Бегуницы - Ивановское - Местаново - Лашковицы - Кирово		ПАЗ-3204-12		27.06.2016	2	-	-
511	vsv		205	а	"ООО ""АТП Барс-2"""	инт	станция метро Проспект Просвещения	Новое Девяткино	ежедневно	проспект Просвещения - улица Руставели - Мурино - Новое Девяткино	34	ПАЗ-3204-02, ПАЗ-3204-12, ПАЗ-4233	-	27.06.2016	2	-	-
513	vsv	 	205	 	"ООО ""АТП Барс-2"""	инт	станция метро Проспект Просвещения	Лехтуси	ежедневно	проспект Просвещения - улица Руставели - Мурино - Новое Девяткино - Кузьмоловский - Токсово - Лехтуси	80	ПАЗ-3204-02, ПАЗ-3204-12, ПАЗ-4234	"делает заезд к ст. м. ""Девяткино""<BR>СПб - Новое Девяткино - 34р.<BR>СПб - Кузьмоловский - 40р.<BR>СПб - Токсово - 60р.<BR>СПб - Новое Токсово - 70р.<BR>Мурино - Токсово - 45р.<BR>Новое Девяткино - Токсово - 40р.<BR>Токсово - Лехтуси - 25р."	27.06.2016	2	-	-
774	vsv	 	413	 	"ХК ""Питеравто"""	расп	станция метро Проспект Просвещения	Токсово	ежедневно	проспект Просвещения - проспект Культуры - Бугры - Корабсельки - Энколово - Капитолово - Энколово - Кузьмоловский - Токсово	65	Volkswagen Crafter (БТД)	<BR>СПб - Бугры - 30р.<BR>СПб - Энколово - 35р.<BR>СПб - Кузьмоловский - 45р.	27.06.2016	2	-	-
788	vsv	К-	429	 	"ОАО ""Третий Парк"""	инт	Ладожский вокзал	Разметелево	ежедневно	Гранитная улица - Заневский проспект - проспект Косыгина - Янино-1 - Янино-2 - Колтуши - Разметелево	66	ПАЗ-3204-02	по СПб - 35р.<BR>СПб - Янино-1 - 40р.<BR>СПб - Колтуши - 53р.<BR>Янино-1 - Разметелево - 52р.<BR>Колтуши - Разметелево - 31р.	27.06.2016	2	-	-
789	vsv	К-	430	 	"ООО ""Автоалдис"""	инт	Ладожский вокзал	Всеволожск, Александровская улица	ежедневно	Гранитная улица - Заневский проспект - проспект Косыгина - улица Передовиков - Ириновский проспект - Рябовское шоссе - (обратно: Ржевская улица - улица Красина /Пороховые/ - улица Коммуны) - шоссе Дорога Жизни /г.Всеволожск/ - Александровская улица /г.Всеволожск/	65	IVECO Daily, Volkswagen Crafter (БТД)	<BR>по СПб - 35р.<BR>по Всеволожску - 35р.	27.06.2016	2	-	-
795	vsv		434		"ООО ""АТП Барс-2"""	инт	станция метро Проспект Просвещения	41-й км Выборгского шоссе	ежедневно	улица Хошимина - Выборгское шоссе - Выборгское шоссе /пос. Парголово/ - Сертолово - улица Дмитрия Кожемякина /г. Сертолово/ - Центральная улица /г. Сертолово/ - улица Ларина /г. Сертолово/ - Чёрная Речка - 41-й км Выборгского шоссе	55	ПАЗ-3204-02	<BR>СПб - Парголово - 30р.<BR>СПб - Осиновая Роща - 40р.<BR>СПб - Сертолово - 45р.<BR>СПб - Чёрная Речка - 53р.<BR>Парголово - Осиновая Роща - 30р.<BR>Парголово - Сертолово - 35р.<BR>Сертолово - Чёрная Речка - 20р.<BR>Сертолово - 41-й км - 35р.<BR>Чёрная Речка - 41-й км - 15р.	27.06.2016	2	-	-
804	vsv		439	 	"ООО ""АТП Барс-2"""	расп	станция метро Парнас	41-й км Выборгского шоссе	ежедневно	улица Михаила Дудина /пос. Парголово/ - проспект Энгельса - проспект Просвещения - улица Хошимина - Выборгское шоссе - Выборгское шоссе /пос. Парголово/ - Сертолово - Чёрная речка - 41-й км	53	ПАЗ-4234	<BR>СПб - Парголово - 30р.<BR>СПб - Осиновая Роща - 40р.<BR>СПб - Сертолово - 45р.<BR>Парголово - Осиновая Роща - 30р.<BR>Парголово - Сертолово - 35р.<BR>Сертолово - Чёрная Речка - 20р.<BR>Сертолово - 41-й км - 35р.<BR>Чёрная Речка - 41-й км - 15р.	27.06.2016	2	-	-
807	vsv	 	441	 	"ХК ""Питеравто"""	инт	станция метро Проспект Просвещения	Юкки	ежедневно	проспект Просвещения - проспект Культуры - Бугры - Порошкино - Юкки	35	Volkswagen Crafter (Луидор)	<BR>СПб - Бугры - 30р.	27.06.2016	2	-	-
812	vsv	 	444	 	"ООО ""АТП Барс-2"""	инт	станция метро Проспект Просвещения	Сертолово-2	ежедневно	улица Хошимина - Выборгское шоссе - Выборгское шоссе /пос. Парголово/ - Сертолово - Сертолово-2	45	ПАЗ-3204-02, ПАЗ-3204-12	<BR>СПб - Парголово - 30р.<BR>СПб - Осиновая Роща - 40р.<BR>Парголово - Осиновая Роща - 30р.<BR>Парголово - Сертолово - 35р.<BR>Осиновая Роща - Сертолово - 25р.<BR>по Сертолово - 20р.	27.06.2016	2	-	-
815	vsv	 	447	 	"ООО ""АТП Барс-2"""	расп	платформа Песочная	Агалатово 	ежедневно	Советская улица /пос. Песочный/ - Сертолово - Сертолово-2 - Сарженка - Агалатово	35	ПАЗ-3204-02	по Сертолово - 20р.	27.06.2016	2	-	-
818	vsv	 	453	 	"ООО ""Никкос"""	расп	Ладожский вокзал	Дубровка	ежедневно	Гранитная улица - Заневский проспект - проспект Косыгина - Янино-1 - Янино-2 - Колтуши - Разметелево - Мяглово - Новая Пустошь - Хапо-Ое - Дубровка	120	ПАЗ-3204-02	<BR>от СПб:<BR>Янино - 37р.<BR>Янино-2 - 42р.<BR> Колтуши - 53р.<BR>Аро - 57р.<BR>Разметелево - 66р.<BR>Мяглово - 68р.<BR>Новая Пустошь -70р.<BR><BR>от Заневки:<BR>Янино - 16р.<BR>МПБО - 20р.<BR>Суоранда - 22р.<BR>Янино-2 - 26р.<BR>Колтуши - 33р.<BR>Аро - 40р.<BR>Разметелево - 42р.<BR>Мяглово - 44р.<BR>Новая Пустошь -46р.<BR>Озерки - 50р.<BR><BR>от Янино:<BR>МПБО - 16р.<BR>Суоранда - 20р.<BR>Янино-2 - 24р.<BR>Колтуши - 28р.<BR>Аро - 37р.<BR>Разметелево - 40р.<BR>Мяглово - 42р.<BR>Новая Пустошь - 44р.<BR>Озерки - 46р.<BR><BR>от МПБО:<BR>Суоранда - 15р.<BR>Янино-2 - 20р.<BR>Колтуши - 26р.<BR><BR>от Суоранды:<BR>Янино-2 - 18р.<BR>Колтуши - 24р.<BR>Аро - 35р.<BR>Разметелево - 37р.<BR>Мяглово - 40р.<BR>Новая Пустошь - 42р.<BR>Озерки - 44р.<BR><BR>от Янино-2:<BR>Старая - 20р.<BR>Колтуши - 22р.<BR>Аро - 33р.<BR>Разметелево - 35р.<BR>Мяглово - 37р.<BR>Новая Пустошь - 42р.<BR>Озерки - 44р.<BR><BR>от Старой:<BR>Колтуши - 22р.<BR>Аро - 26р.<BR>Разметелево - 31р.<BR>Мяглово - 33р.<BR>Новая Пустошь - 35р.<BR>Озерки - 40р.<BR><BR>от ПМК-6:<BR>Аро - 22р.<BR>Разметелево - 24р.<BR>Мяглово - 31р.<BR>Новая Пустошь - 33р.<BR>Озерки - 37р.<BR><BR>от Аро:<BR>Разметелево - 18р.<BR>Мяглово - 26р.<BR>Новая Пустошь - 28р.<BR>Озерки - 35р.<BR><BR>от Разметелево:<BR>Мяглово - 22р.<BR>Новая Пустошь - 24р.<BR>Озерки - 26р.<BR>от Мяглово:<BR>Новая Пустошь - 18р.<BR>Озерки - 24р.<BR><BR>по СПб - 30р.	27.06.2016	2	-	-
828	vsv	 	462	 	"ООО ""Автоалдис"""	расп	Ладожский вокзал	Углово	ежедневно	Гранитная улица - Заневский проспект - проспект Косыгина - улица Коммуны - Рябовское шоссе - (обратно: Ржевская улица - улица Красина /Пороховые/ - улица Коммуны) - Всеволожск - Романовка - Углово	79	ЛиАЗ-5256	<BR>по СПб - 30р.<BR>СПб - Всеволожск, Приютино - 55р.<BR>СПб - Всеволожск, Котово поле - 65р.<BR>СПб - Романовка - 72р.	27.06.2016	2	-	-
870	vsv	 	511	 	"ООО ""Фрост"""	инт	станция метро Улица Дыбенко	имени Морозова	ежедневно	проспект Большевиков - Народная улица - Мурманское шоссе - дорога к посёлку им. Морозова - Чёрная Речка - имени Морозова	85	IVECO Daily, ПАЗ-3204-12, ПАЗ-4234	СПб - 36 км - 60р.<BR>имени Морозова - садоводства - 20р.	27.06.2016	2	-	-
879	vsv	К-	531	 	"ООО ""Автоалдис"""	инт	Ладожский вокзал	Всеволожск, Невская улица	ежедневно	Гранитная улица - Заневский проспект - проспект Косыгина - Янино - Янино-2 - Колтуши - Павлово - Колбино - Куйворы - Кальтино - Всеволожск	65	Volkswagen Crafter (БТД), ПАЗ-3204-02	<BR>СПб - Янино-2 - 42р.<BR>СПб - Колбино - 53р.<BR>по СПб - 35р.	27.06.2016	2	-	-
880	vsv	 	531	 	"ООО ""Автоалдис"""	расп	Ладожский вокзал	Всеволожск, ЦРБ	ежедневно	Гранитная улица - Заневский проспект - проспект Косыгина - Янино - Янино-2 - Колтуши - Павлово - Колбино - Куйворы - Кальтино - Всеволожск	72	ЛиАЗ-5256	<BR>по СПб - 30р.<BR>по Всеволожску - 22р.<BR>СПб - Янино-1 - 37р.<BR>СПб - Янино-2 - 42р.<BR>СПб - Колбино - 53р.<BR>СПб - мкр.Южный - 65р.<BR><BR>Янино-1 - Колтуши - 28р.<BR>Янино-1 - мкр. Южный - 37р.<BR>Янино-1 - ЦРБ - 46р.<BR>Колтуши - ЦРБ - 38р.	27.06.2016	2	-	-
881	vsv	 	532	 	"ООО ""Никкос"""	расп	Ладожский вокзал	Воейково	ежедневно	Гранитная улица - Заневский проспект - проспект Косыгина - Янино - Янино-2 - Колтуши - Воейково	63	ПАЗ-3204-02, ЛиАЗ-5256	<BR>от СПб:<BR>Янино - 37р.<BR>Янино-2 - 42р.<BR> Колтуши - 53р.<BR><BR>от Заневки:<BR>Янино - 16р.<BR>МПБО - 20р.<BR>Суоранда - 22р.<BR>Янино-2 - 26р.<BR>Колтуши - 33р.<BR>Воейково - 40р.<BR><BR>от Янино:<BR>МПБО - 16р.<BR>Суоранда - 20р.<BR>Янино-2 - 24р.<BR>Колтуши - 28р.<BR>Воейково - 37р.<BR><BR>от МПБО:<BR>Суоранда - 15р.<BR>Янино-2 - 20р.<BR>Колтуши - 26р.<BR>Воейково - 35р.<BR><BR>от Суоранды:<BR>Янино-2 - 18р.<BR>Колтуши - 24р.<BR><BR>от Янино-2:<BR>Старая - 20р.<BR>Колтуши - 22р.<BR>Воейково - 31р.<BR><BR>от Старой:<BR>Колтуши - 22р.<BR>Воейково - 30р.<BR>от Воейково:<BR>ПМК-6 - 26р.<BR>Колтуши - 22р.<BR><BR>по СПб - 30р.	27.06.2016	2	-	-
882	vsv	К-	533	 	"ООО ""Никкос"""	инт	Ладожский вокзал	Разметелево	-	Гранитная улица - Заневский проспект - проспект Косыгина - Янино - Янино-2 - Колтуши - Разметелево	0	-	-	27.06.2016	2	-	-
883	vsv	 	533	 	"ООО ""Никкос"""	расп	Ладожский вокзал	Разметелево	ежедневно	Гранитная улица - Заневский проспект - проспект Косыгина - Янино - Янино-2 - Колтуши - Разметелево	66	IVECO Daily (Нижегородец), ПАЗ-3204-02	СПб - Янино - 42р.<BR>СПб - Колтуши - 53р.<BR>Янино-1 - Колтуши - 35р.<BR>Янино-1 - Разметелево - 55р.<BR>Колтуши(центр) - Разметелево - 30р.<BR>Колтуши(ул.Новая) - Разметелево - 40р.<BR><BR>по СПб - 37р.<BR>по Колтушам - 25р.	27.06.2016	2	-	-
884	vsv		534		"ООО ""Никкос"""	расп	Пороховые	Павлово	по будним дням	улица Коммуны - проспект Косыгина - Янино - Янино-2 - Колтуши - Павлово	57	ПАЗ-3204-02	<BR>от СПб:<BR>Янино - 37р.<BR>Янино-2 - 42р.<BR><BR>от Заневки:<BR>Янино - 16р.<BR>МПБО - 20р.<BR>Суоранда - 22р.<BR>Янино-2 - 26р.<BR>Колтуши - 33р.<BR><BR>от Янино:<BR>МПБО - 16р.<BR>Суоранда - 20р.<BR>Янино-2 - 24р.<BR>Колтуши - 28р.<BR><BR>от МПБО:<BR>Суоранда - 15р.<BR>Янино-2 - 20р.<BR>Колтуши - 26р.<BR><BR>от Суоранды:<BR>Янино-2 - 18р.<BR>Колтуши - 24р.<BR><BR>от Янино-2:<BR>Старая - 20р.<BR>Колтуши - 22р.<BR><BR>Старая - Колтуши - 22р.<BR>по СПб - 30р.	27.06.2016	2	-	-
901	vsv		555	а	"ООО ""АТП Барс-2"""	инт	станция метро Проспект Просвещения	Сертолово, улица Ларина	ежедневно	улица Хошимина - улица Композиторов - проспект Просвещения - (обратно: проспект Просвещения) - Выборгское шоссе - Выборгское шоссе /пос. Парголово/ - Сертолово - улица Ларина /г. Сертолово/	45	ПАЗ-3204-02	<BR>СПб - Парголово - 30р.<BR>СПб - Осиновая Роща - 40р.<BR>Парголово - Осиновая Роща - 30р.<BR>Парголово - Сертолово - 35р.<BR>Осиновая Роща - Сертолово - 25р.<BR>по Сертолово - 20р.	27.06.2016	2	-	-
941	vsv		671	 	"ООО ""АТП Барс-2"""	расп	Песочный, ЦНИРИ	Сертолово, Центральная улица	ежедневно	Ленинградская улица /пос. Песочный/ - Советская улица /пос. Песочный/ - Сертолово - улица Ларина /г. Сертолово/ - Центральная улица /г. Сертолово/	28	ПАЗ-3204-02	по Сертолово - 20р.	27.06.2016	2	-	-
945	vsv		673		"ООО ""АТП Барс-2"""	инт	станция метро Озерки	Сертолово, Центральная улица	ежедневно	Выборгское шоссе - (обратно: проспект Луначарского - проспект Энгельса) - Выборгское шоссе /пос. Парголово/ - Сертолово	45	ПАЗ-3204-02, ПАЗ-3204-12	<BR>СПб - Парголово - 30р.<BR>СПб - Осиновая Роща - 40р.<BR>Парголово - Осиновая Роща - 30р.<BR>Парголово - Сертолово - 35р.<BR>Осиновая Роща - Сертолово - 25р.<BR>по Сертолово - 20р.	27.06.2016	2	-	-
947	vsv	К-	675	 	"ООО ""Пассажиртранс"""	расп	станция метро Парнас	Первомайское	ежедневно	улица Михаила Дудина /пос. Парголово/ - проспект Энгельса - КАД - (обратно: Выборгское шоссе /пос. Парголово/ - Выборгское шоссе - улица Хошимина - проспект Энгельса) - Выборгское шоссе /пос. Парголово/ - Сертолово - Чёрная Речка - Огоньки - Первомайское	100	Mercedes Sprinter (Луидор)	2 круга в день - до пос. Красносельское	27.06.2016	2	-	-
949	vsv		676	 	"ООО ""АТП Барс-2"""	инт	станция метро Проспект Просвещения	Чёрная Речка	ежедневно	проспект Просвещения - Выборгское шоссе - Выборгское шоссе /пос. Парголово/ - Сертолово - Чёрная Речка	53	ПАЗ-3204-02	<BR>СПб - Парголово - 30р.<BR>СПб - Осиновая Роща - 40р.<BR>СПб - Сертолово - 45р.<BR>Парголово - Сертолово - 35р.<BR>Парголово - Чёрная Речка - 45р.<BR>Осиновая Роща - Сертолово - 25р.<BR>Осиновая Роща - Чёрная Речка - 35р.<BR>Сертолово - Чёрная Речка - 20р.	27.06.2016	2	-	-
971	vsv	 	690	 	"ООО ""Экспресс-Авто"""	расп	станция метро Проспект Просвещения	Лесное	ежедневно	улица Хошимина - Выборгское шоссе - Выборгское шоссе /пос. Парголово/ - Приозерское шоссе /Осиновая Роща/ - Дранишники - Лупполово - Вартемяги - Касимово - Агалатово - Стеклянный - Лесное	110	ПАЗ-3204-12, ПАЗ-4234	"летом 4 рейса в сутки - до сад-ва ""Альбатрос"" (140р.)<BR>СПб - Парголово - 30р.<BR>СПб - Дранишники - 35р.<BR>СПб - Агалатово - 50р.<BR>СПб - пов. на Грузино - 90р.<BR>Парголово - Агалатово - 35р.<BR>Парголово - пов. на Грузино - 70р.<BR>Парголово - ГИБДД (36 км) - 95р.<BR>Парголово - Лесное - 100р.<BR>Осиновая Роща - Дранишники - 25р.<BR>Осинова Роща - пов. на Грузино - 65р.<BR>Осиновая Роща - ГИБДД (36 км) - 90р.<BR>Осиновая Роща - Стеклянный - 95р.<BR>Дранишники - Лупполово - 25р.<BR>Дранишники - пов. на Грузино - 60р.<BR>Дранишники - ГИБДД (36 км) - 85р.<BR>Дранишники - Лесное - 90р.<BR>Лупполово - Вартемяги - 20р.<BR>Лупполово - пов. на Грузино - 55р.<BR>Лупполово - Лемболовская твердыня - 75р.<BR>Лупполово - Лесное - 80р.<BR>Вартемяги - Касимово - 20р.<BR>Вартемяги - пов. на Грузино - 50р.<BR>Вартемяги - Лемболовская твердыня - 70р.<BR>Вартемяги - Лесное - 75р.<BR>Касимово - Агалатово - 25р.<BR>Касимово - пов. на Грузино - 40р.<BR>Касимово - Лемболовская твердыня - 60р.<BR>Касимово- ГИБДД (36 км) - 65р.<BR>Касимово - Лесное - 70р.<BR>Агалатово - Лемболовская твердыня - 55р.<BR>Агалатово - ГИБДД (36 км) - 60р.<BR>Агалатово - Лесное - 65р.<BR>пов. на Грузино - Лемболовская твердыня - 25р.<BR>пов. на Грузино - Лесное - 40р.<BR>Лемболовская твердыня - ГИБДД (36 км) - 25р.<BR>Лемболовская твердыня - Лесное - 35р.<BR>ГИБДД (36 км) - Стеклянный - 25р.<BR>ГИБДД (36 км) - Лесное - 30р.<BR>Стеклянный - Лесное - 25р.<BR>по населённым пунктам - 20р.<BR>багаж до 25 км - 16р.<BR>багаж более 25 км - 32р."	27.06.2016	2	-	-
975	vsv		692	 	"ХК ""Питеравто"""	расп	станция метро Ломоносовская	Пороги	ежедневно	улица Бабушкина - Ивановская улица - Володарский мост - Октябрьская набережная - Новосаратовка - Овцыно - Красная Звезда - имени Свердлова - Пороги	50	ПАЗ-3204-12	<BR>по СПб - 31р.<BR>СПб - Новосаратовка - 36р.<BR>СПб - им.Свердлова - 41р.<BR>1,5 круга в день - до пос. Оранжерейка (52р.)	27.06.2016	2	-	-
979	vsv	К-	801	 	"ООО ""Никкос"""	расп	станция метро Проспект Большевиков	Дубровка	ежедневно	проспект Большевиков - Народная улица - Мурманское шоссе - Мяглово - Новая Пустошь - Хапо-Ое - Дубровка	100	ПАЗ-3204-02	-	27.06.2016	2	-	-
